REGISTRO N§;FECHA;HORA;DESCRIPCION (Vehiculo / Moto);DOMINIO;MARCA;MODELO;COLOR;TIPO;CHASIS N§;MOTOR N§;LEVANTADO EN :;AGENTE DE PLAYA QUE RECIBIO;GRUA / CHOFER;INVENTARIO SI/NO;NUMERO DE RECLAMO ;FECHA;HORA;GRUA/CHOFER;ENTREGA AGENTE;NOTAS;CONTROL DE LEGALES;
106;13/04/2015;10:30;SI;CIU242;ROVER;;;PARTICULAR;S/D;S/D;J.NEWBERY 3940;MORENO/APES/PLATAS;MAIDANA;SI;;22/07/2015;18:00;FUENTES CACTYT ;PIZARRO/LIETS;TRASLADO A HERRERA;;
107;13/04/2015;12:50;SI;S/PLACA;FORD;FIESTA;;PARTICULAR;S/D;S/D;FITZ ROY 212;MORENO/APES/PLATAS;ACOSTA;SI;;18/05/2015;16:51;MONTA¥A (CACTYT);PIZARRO;TRASLADO A HERRERA;;
108;13/04/2015;15:50;SI;S/PLACA;VW;GOL;;PARTICULAR;S/D;S/D;JULIAN ALVAREZ 1700;HURTADO/PIZARRO;TAPIA;SI;;19/05/2015;09:30;MAIDANA (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
109;13/04/2015;15:53;SI;COM517;FORD;KA;;PARTICULAR;S/D;S/D;12 DE OCTUBRE;HURTADO-PIZARRO-AYES-TARAN;FUENTES;SI;;24/04/2015;11:00;;MORENO-APES-PLATAS-AYES;IGLESIAS RAUL EDUARDO(T)4388441;;
110;13/04/2015;17:38;SI;WDX667;TOYOTA;;;PARTICULAR;S/D;S/D;S/D;HURTADO-PIZARRO-AYES-TARAN;FUENTES;SI;;02/07/2015;16:00;FUENTES CACTYT ;PIZARRO;TRASLADO A HERRERA;;
111;13/04/2015;19:09;SI;S/PLACA;FORD;ESCORT;;PARTICULAR;S/D;S/D;MARIA DE ROSAS 1400;HURTADO-PIZARRO-AYES-TARAN;LEIVA;SI;;20/05/2015;16:45;TAPIA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
112;14/04/2015;10:05;SI;UKN466;FORD;GALAXY;;PARTICULAR;S/D;S/D;GANDARA 2229;MORENO-APES-PLATAS;SICA;SI;;23/06/2015;18:30;LEIVA CACTYT ;PIZARRO;TRASLADO A HERRERA;;
113;14/04/2015;10:20;SI;DBB592;CITROEN;C15;;PARTICULAR;S/D;S/D;AGUIRRE 495;MORENO-APES-PLATAS;ACOSTA;SI;;14/05/2015;16:14;"GRUA S.O.S ""ICK(D)943""";PIZARRO;JUAN MANUEL PICAROL (CA);;
114;14/04/2015;11:00;SI;S/PLACA;PEUGEOT;504;;PARTICULAR;S/D;S/D;SOMELLERA R. CASTRO;MORENO-APES-PLATAS;MAIDANA;SI;;14/05/2015;12:30;CORNAGO (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
115;14/04/2015;12:30;SI;S/PLACA;FORD;TAUNUS;;PARTICULAR;S/D;S/D;SOMELLERA R. CASTRO;MORENO-APES-PLATAS;MAIDANA;SI;;13/05/2015;18:48;LEIVA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
116;14/04/2015;15:47;SI;S/PLACA;RENAULT;12;;PARTICULAR;S/D;S/D;ROJAS 1400;HURTADO-PIZARRO;FUENTES;SI;;15/05/2015;11:50;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
117;14/04/2015;17:13;SI;S/PLACA;VW;GOLF;;PARTICULAR;S/D;S/D;CAMARONES 1900;HURTADO-PIZARRO;LEIVA;SI;;15/05/2015;12:15;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
118;14/04/2015;17:20;SI;TUD606;FORD;SIERRA;;PARTICULAR;S/D;S/D;JUAN B.JUSTO Y AGUIRRE;HURTADO-PIZARRO;TAPIA;SI;;27/08/2015;16:50;ESTEFANO(CACTYT);HURTADO/PIZARRO;TRASLADO A HERRERA;;
119;14/04/2015;17:44;SI;SLA774;DEUZ;;;PARTICULAR;S/D;S/D;VIRREY CEBALLOS;HURTADO-PIZARRO;BRANDAN;SI;;;;;;;;
120;14/04/2015;18:25;SI;S/PLACA;CHEVROLET;CORSA;;PARTICULAR;S/D;S/D;PAVON Y VIRREY LINIERS;HURTADO-PIZARRO;TAPIA;SI;;22/05/2015;15:31;TAPIA CACTYT;PIZARRO;TRASLADO A HERRERA;;
121;14/04/2015;20:29;SI;B024001;FORD;FALCON;;PARTICULAR;S/D;S/D;MOLIERE 1200;HURTADO-PIZARRO;LEIVA;SI;;26/10/2015;17:22;PEREZ (CACTYT);AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
122;14/04/2015;00:02;SI;EHC709;FIAT;UNO;;PARTICULAR;S/D;S/D;S/D;BERARDI-LIETS;VELAZQUEZ;SI;;20/07/2015;18:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
123;15/04/2015;10:15;SI;S/PLACA;MITSUBISHI;SARPORO;;PARTICULAR;S/D;S/D;BARZANA 1236;MORENO/APES/PLATAS;ACOSTA;SI;;28/05/2015;18:35;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
124;15/04/2015;11:25;SI;UID420;CHEVROLET;CHEVETTE;;PARTICULAR;S/D;S/D;AVALOS 1141;MORENO/APES/PLATAS;SICA;SI;;;;;;;;
125;15/04/2015;12:55;SI;B406134;PEUGEOT;303;;PARTICULAR;S/D;S/D;CEPITA 3300 Y MAGALI;MORENO/APES/PLATAS;S.O.S CETTOUR;SI;;26/10/2015;16:30;SANTOLLI CACTYT;HURTADO/PIZARRO/AYESTARAN;TRASLADO A HERRERA;;
126;15/04/2015;13:05;SI;SVV280;VW;KOMBI;;PARTICULAR;S/D;S/D;LIVERPOOL 2825;MORENO/APES/PLATAS;MAIDANA;SI;;24/04/2015;11:00;;MORENO/APES/PLATAS;ALMIRON MARTA LEONOR 12646266 (T);;
127;15/04/2015;13:00;SI;DSN673;FORD;FOCUS;;PARTICULAR;S/D;S/D;MAURE Y BALDWAS;MORENO-APES-PLATAS;ACOSTA;SI;;27/07/2015;11:39;MAIDANA;CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
128;15/04/2015;14:59;SI;S/PLACA;FORD;FALCON;;PARTICULAR;S/D;S/D;YERBAL 4441;HURTAD0-PIZARRO;S.O.S CETTOUR;SI;;23/06/2015;19:41;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
129;15/04/2015;15:40;SI;WWG878;FORD;FALCON;;PARTICULAR;S/D;S/D;J.INES DE LA CRUZ 1662;HURTAD0-PIZARRO;S.O.S MEDINA;SI;;25/06/2015;16:15;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
130;15/04/2015;15:50;SI;B219389;AUDI;;;PARTICULAR;S/D;S/D;ESCALOZI 3569;HURTAD0-PIZARRO;S.O.S PRAGLIOLA;SI;;26/10/2015;17:56;FUENTES (CACTYT);AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
131;15/04/2015;16:47;SI;C1201945;RENAULT;18 BREAK;;PARTICULAR;S/D;S/D;GRANADA 1600;HURTAD0-PIZARRO;FUENTES;SI;;24/06/2015;12:20;VANESKEHIAN (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
132;15/04/2015;17:42;SI;SWR037;RENAULT;19;;PARTICULAR;S/D;S/D;AV.GARAY Y CABOT;HURTAD0-PIZARRO;TAPIA;SI;;28/07/2015;16:00;ARRIOLA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
133;15/04/2015;18:42;SI;RGK354;FIAT;;;PARTICULAR;S/D;S/D;AV.GARAY Y CABOT;HURTAD0-PIZARRO;TAPIA;SI;;16/06/2015;17:50;CABRERIZO (CACTYT);HURTADO;TRASLADO A HERRERA;;
134;15/04/2015;18:49;SI;C680487;FIAT;;;PARTICULAR;S/D;S/D;ROSETTI 1755;HURTAD0-PIZARRO;LEIVA;SI;;11/08/2015;17:50;VANESKEHIAN (CACTYT);PIZARRO/HURTADO;TRASLADO A HERRERA;;
135;15/04/2015;18:56;SI;B456079;FIAT;600;;PARTICULAR;S/D;S/D;SEGUI 1600;HURTAD0-PIZARRO;FUENTES;SI;;26/10/2015;1610;FUENTES (CACTYT);AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
136;15/04/2015;20:04;SI;S/PLACA;CITROEN;BERLINGO;;PARTICULAR;S/D;S/D;ACASSUSO 5700;HURTAD0-PIZARRO;LEIVA;SI;;18/04/2015;15:20;BARROCA NTN 845;AMADEO;TRASLADO A HERRERA;;
137;16/04/2015;10:00;SI;UJP762;FIAT;REGATTA;AZUL;PARTICULAR;S/D;S/D;LA VALLEJA 253;MORENO-APES-PLATAS;MAIDANA;SI;;16/06/2015;17:00;CABRERIZO (CACTYT);HURTADO;TRASLADO A HERRERA;;
138;16/04/2015;10:30;SI;WNB804;GMC;CHEVETTE;BLANCO;PARTICULAR;S/D;S/D;PALPA 3700;MORENO-APES-PLATAS;GRECO;SI;;03/11/2015;11:30;DIEGO DOMINGUEZ (CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
139;16/04/2015;11:20;SI;S/PLACA;CHEVROLET;;;PARTICULAR;S/D;S/D;WARNES 1900;MORENO-APES-PLATAS;SICA;SI;;14/05/2015;17:00;MAIDANA CACTYT;AYESTARAN;TRASLADO A HERRERA;;
140;16/04/2015;11:40;SI;TJZ443;ALFA ROMEO;33;GRIS OSCURO;PARTICULAR;S/D;S/D;SANCHEZ DE LORIA 1500;MORENO-APES-PLATAS;GRECO;SI;;26/10/2015;16:30;PEREZ CACTYT;HURTADO/PIZARRO/AYESTARAN;TRASLADO A HERRERA;;
141;16/04/2015;12:37;SI;;;;ROJO;PARTICULAR;S/D;S/D;UCRICO Y POLA;MORENO-APES-PLATAS;MAIDANA;SI;;18/04/2015;14:47;BARROCA NTN 845;AMADEO;TRASLADO A HERRERA;;
142;16/04/2015;15:18;SI;UKW438;RENAULT;12;BLANCO;PARTICULAR;S/D;S/D;RIVERO 6200;HURTADO-PIZARRO;FUENTES;SI;;18/05/2015;15:33;GRUA PRIVADA;PIZARRO;VERZA GUSTAVO JAVIER(T)22948020;;
143;16/04/2015;17:11;SI;ECK720;DAEWOO;LAMAS;VERDE;PARTICULAR;S/D;S/D;BAUNES 1742;HURTADO-PIZARRO;TAPIA;SI;;29/07/2015;16:40;CABRERIZO CACTYT;PIZARRO;TRASLADO A HERRERA;;
144;16/04/2015;17:12;SI;S/PLACA;PEUGEOT;504;BORDO;PARTICULAR;S/D;S/D;BOLIVIA 2612;HURTADO-PIZARRO;ARRIOLA;SI;;S/D;;;;TRASLADO A HERRERA;;
145;16/04/2015;18:48;SI;S/PLACA;RENAULT;12;AZUL;PARTICULAR;S/D;S/D;LAVALLOL 3608;HURTADO-PIZARRO;CABRERIZO;SI;;29/05/2015;17:00;TAPIA CACTYT;GATICA;TRASLADO A HERRERA;;
146;16/04/2015;19:04;SI;S/PLACA;FIAT;FIORINO;BLANCO;PARTICULAR;S/D;S/D;PIRES Y EMILIO CASTRO;HURTADO-PIZARRO;TAPIA;SI;;18/04/2015;14:44;ALVISUA FTPd782;AMADEO;TRASLADO A HERRERA;;
147;16/04/2015;19:19;SI;S/PLACA;CHEVROLET;;OXIDADO;PARTICULAR;S/D;S/D;R.ESCALADA  CRUZ Y POLA;HURTADO-PIZARRO;ARRIOLA;SI;;28/05/2015;17:28;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
148;17/04/2015;00:50;SI;S/PLACA;MAZDA;;GRIS PLATA;PARTICULAR;S/D;S/D;S/D;LIETS-BERARDI-BRAGUE;VELAZQUEZ;SI;;20/05/2015;10:50;MAIDANA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
149;17/04/2015;12:20;SI;S/PLACA;PEUGEOT;504;BLANCO;PARTICULAR;S/D;S/D;EIPIDO GONZALEZ 5340;MORENO-APES-PLATAS;MAIDANA;SI;;18/04/2015;09:58;BARROCA NTN 845;AMADEO;TRASLADO A HERRERA;;
150;17/04/2015;13:50;SI;S/PLACA;;;OXIDADO;PARTICULAR;S/D;S/D;T. GORDILLO Y BRAGADO;APES-PLATAS;CORNAGO;SI;;18/04/2015;11:19;BARROCA NTN 845;AMADEO;TRASLADO A HERRERA;;
151;17/04/2015;15:05;SI;WAC309;FIAT;1500;AZUL;PARTICULAR;S/D;S/D;ANDONAEGUI 921;HURTADO-PIZARRO;S.O.S JUNKAL;SI;;26/10/2015;17:00;FUENTES CACTYT;HURTADO/PIZARRO/AYESTARAN;TRASLADO A HERRERA;;
152;17/04/2015;17:55;SI;XJJ352;FORD;SIENA;BORDO;PARTICULAR;S/D;S/D;POMAR Y AV.LA PLATA;HURTADO-PIZARRO;TAPIA;SI;;18/04/2015;11:21;ARREYES FTPd782;AMADEO;TRASLADO A HERRERA;;
153;17/04/2015;18:13;SI;STO225;VW;GACEL;GRIS;PARTICULAR;S/D;S/D;BAEZ 919;HURTADO-PIZARRO;S.O.S VAZQUEZ;SI;;03/11/2015;8.30;SICA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
154;17/04/2015;18:34;SI;S/PLACA;VW;GOL;ROJO;PARTICULAR;S/D;S/D;TIMOTEO Y ALBERDI;HURTADO-PIZARRO;LEIVA;SI;;18/04/2015;15:24;ALVISUA FTPd782;AMADEO;TRASLADO A HERRERA;;
155;17/04/2015;18:45;SI;S/PLACA;FORD;ORION;ROJO;PARTICULAR;S/D;S/D;BRAGADO 6600;HURTADO-PIZARRO;FUENTES;SI;;15/05/2015;12:00;ACOSTA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
156;17/04/2015;18:49;SI;TJH845;FIAT;125;CELESTE;PARTICULAR;S/D;S/D;GASTILLA 2800;HURTADO-PIZARRO;CABRERIZO;SI;;16/06/2015;11:40;DOMINGUEZ (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
157;17/04/2015;19:02;SI;ANR727;RENAULT;21;NEGRO;PARTICULAR;S/D;S/D;ACEVEDO 895;HURTADO-PIZARRO;S.O.S GABRIELLI;SI;;25/05/2015;10:46;GRUA ACA;AMEDEO;GROSS GASTON(T)92009034/SEBASTIAN GRACIANO;;
158;17/04/2015;20:19;SI;HOB124;VW;GOL;ROJO;PARTICULAR;S/D;S/D;AGUIRRE 530;HURTADO-PIZARRO;S.O.S JUNKAL;SI;;24/06/2015;17:01;GRUA PREFECTURA (SZY 432);PIZARRO;RETIRA TITULAR DAMIAN GALLERA DNI 22226873;;
159;17/04/2015;20:38;SI;S/PLACA;RENAULT;KANGOO;BLANCO;PARTICULAR;S/D;S/D;TIMOTEO GORDILLO Y ALBERDI;HURTADO-PIZARRO;LEIVA;SI;;18/04/2015;09:56;ARREYES FTPd782;AMADEO;TRASLADO A HERRERA;;
160;17/04/2015;21:02;SI;WGD448;GROSSPAL;G660;VERDE;PARTICULAR;S/D;S/D;POLONIA 5408;BERARDI-LIETS;REMOLQUE SAN MIGUEL REINOSO;SI;PARA COMPACTAR;27/08/2015;16:00;LEIVA;PIZARRO;TRASLADO A HERRERA;;
161;17/04/2015;21:30;SI;TMR345;FORD;GALAXY;AZUL;PARTICULAR;S/D;S/D;TEODORO GARCIA 2410;BERARDI-LIETS;S.O.S GABRIELLI;SI;;18/08/2015;17:50;LEIVA;PIZARRO;TRASLADO A HERRERA;;
162;20/04/2015;12:03;SI;WDS266;FORD;TAUNUS;OXIDADO;PARTICULAR;S/D;S/D;RIO CUARTO 2258;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;05/05/2016;12:30;LEYVA;CARRILLO;TRASLADO A HERRERA;;
163;20/04/2015;12:12;SI;CCL685;ALFA ROMEO;146;BORDO;PARTICULAR;S/D;S/D;SOLDADO DE INDEPENDENCIA 716;AYES-APES-MORENO-PLATAS;S.O.S VAZQUEZ;SI;;14/05/2015;18:59;GRUA SERVICIOS MOVILES CIPd146;PIZARRO;REMARIO JUAN CARLOS (CA)17482269;;
164;20/04/2015;12:55;SI;SBE713;DODGE;1500;OXIDADO;PARTICULAR;S/D;S/D;RIO CUARTO 2300;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;05/08/2015;16:40;CABRERIZO CACTYT;PIZARRO/HURTADO;TRASLADO A HERRERA;;
165;20/04/2015;14:13;SI;BID469;RENAULT;19;BORDO;PARTICULAR;S/D;S/D;CALIFORNIA 1744;PIZARRO-HURTADO;CORNAGO;SI;;12/05/2015;11:00;/;MORENO/PLATAS/AYESTARAN;MARQUEZ HORACIO ENRIQUE(T)106254623;;
166;20/04/2015;16:16;SI;S/PLACA;;;ROJO;PARTICULAR;S/D;S/D;TAMBORINI 3836;HURTADO;TAPIA;SI;;15/05/2015;09:20;MAIDANA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
167;20/04/2015;16:30;SI;RIW680;HONDA;CIVIC;GRIS OSCURO;PARTICULAR;S/D;S/D;ARRIBE¥OS Y VIRREY DEL PINO;GATICA;MANGO;SI;;03/11/2015;11:35;MAIDANA CACTYT;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
168;20/04/2015;16:55;SI;RYG145;CHEVROLET;CHEVY;NARANJA;PARTICULAR;S/D;S/D;MUGARTE 1825;GATICA;ARRIOLA;SI;;23/06/2015;19:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
169;20/04/2015;17:30;SI;VNH552;FORD;;NEGRO;PARTICULAR;S/D;S/D;FLEIJO 770;GATICA;TAPIA;SI;;;;;;;;
170;20/04/2015;17:36;SI;BDJ923;ROVER;416;BLANCO;PARTICULAR;S/D;S/D;ISABELA CATOLICA 238;HURTADO;MANGO;SI;PARA COMPACTAR;05/08/2015;09:20;DOMINGUEZ (CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
171;20/04/2015;17:45;SI;S/PLACA;FORD;MONDEO;GRIS;PARTICULAR;S/D;S/D;SANTA ELENA 476;PIZARRO;ARRIOLA;SI;;02/06/2015;17:00;LEIVA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
172;20/04/2015;17:58;SI;S/PLACA;;;AZUL;PARTICULAR;S/D;S/D;FEIJO Y SUAREZ ;HURTADO;TAPIA;SI;;18/05/2015;11:20;ACOSTA CACTYT;MORENO/PLATAS;TRASLADO A HERRERA;;
173;21/04/2015;00:30;SI;BLS861;RENAULT;TRAFFIC;BLANCO;PARTICULAR;S/D;S/D;S/D;LIETS-BERARDI-BRAGUE;VELAZQUEZ;SI;;22/07/2015;16:00;VANESKEHEIAN CACTYT;PIZARRO;TRASLADO A HERRERA;;
174;21/04/2015;09:26;SI;BOO539;RENAULT;19;BORDO;PARTICULAR;S/D;S/D;CARABOBO 1256;AYE-APES-MORENO-PLATAS;MAIDANA;SI;;24/06/2015;18:30;LEIVA CACTYT;PIZARRO/GATICA;TRASLADO A HERRERA;;
175;21/04/2015;11:50;SI;RPU957;FORD;TAUNUS;GRIS;PARTICULAR;S/D;S/D;PAYSANDU 2031;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;23/06/2015;10:50;DOMUNGUEZ;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
176;21/04/2015;12:29;SI;BWM543;PEUGEOT;306;BLANCO;PARTICULAR;S/D;S/D;ISABELA CATOLICA 752;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;24/06/2015;17:10;LEIVA CACTYT;GATICA-HURTADO;TRASLADO A HERRERA;;
177;21/04/2015;13:00;SI;SMW427;RENAULT;9;GRIS;PARTICULAR;S/D;S/D;GURRUCHAGA 657;AYES-APES-TARAN-PLATAS;MAIDANA;SI;;23/06/2015;17:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
178;21/04/2015;16:02;SI;AHS260;PEUGEOT;405;GRIS;PARTICULAR;S/D;S/D;JUFRE 500;PIZARRO;FUENTES;SI;;24/04/2015;19:55;GRUA SERVICIO MOVILE CBEt119;PIZARRO;GONZALEZ ALICIA DNI 17020913 ;;
179;21/04/2015;16:41;SI;BES329;VW;GOL;GRIS;PARTICULAR;S/D;S/D;DONADO 2093;GATICA;MANGO;SI;;23/06/2015;16:30;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
180;21/04/2015;16:45;SI;ABT541;DODGE;CARAVAN;GRIS;PARTICULAR;S/D;S/D;PERU 1761;PIZARRO;ARRIOLA;SI;;24/06/2015;18:05;LEIVA CACTYT;GATICA;TRASLADO A HERRERA;;
181;21/04/2015;16:50;SI;ASB653;CHEVROLET;CORSA;GRIS;PARTICULAR;S/D;S/D;FIGUEROA Y ACOYTE;PIZARRO;TAPIA;SI;;23/07/2015;10:10;GRUA EMPRESA: AUXILIOS ARGENTINOS OUY 043;CARRILLO/PLATAS;FAVA JAVIER ALEJANDRO DNI:33288268;;
182;21/04/2015;17:30;SI;VLS859;DAIHATSU;SSWIDE;BLANCO;PARTICULAR;S/D;S/D;JUFRE 200;GATICA;FUENTES;SI;;24/04/2015;14:02;;HURTADO-PIZARRO;VICTORIA TIERNO (T);;
183;21/04/2015;17:52;SI;TCA608;PEUGEOT;404;BLANCO;PARTICULAR;S/D;S/D;PERU 1746;GATICA;ARRIOLA;SI;;18/01/2016;11:50;;CARRILLO/APES/PLATAS;MALANO DANIEL BAUTISTA (T) DNI:17109608;;
184;21/04/2015;18:16;SI;TLK111;FIAT;147;BLANCO;PARTICULAR;S/D;S/D;ITUZAINGO 762;PIZARRO;TAPIA;SI;;09/09/2015;10:00;DOMINGUEZ;PLATAS/APES;TRASLADO A HERRERA;;
185;21/04/2015;18:54;SI;VFK906;;;GRIS;PARTICULAR;S/D;S/D;JOVELLANO 1200;HURTADO;FUENTES;SI;;10/09/2015;18:54;LEIVA;AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
186;21/04/2015;19:00;SI;AVA736;CHEVROLET;KADETT;GRIS;PARTICULAR;S/D;S/D;JOVELLANO 1000;PIZARRO;SANTOLI;SI;;;;;;;;
187;21/04/2015;19:57;SI;S/PLACA;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;S.M DEL BUEN AIRE 1444;GATICA;SANTOLI;SI;;21/05/2015;08:55;MAIDANA CACTYT;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
188;22/04/2015;10:55;SI;S/PLACA;RENAULT;18;GRIS;PARTICULAR;S/D;S/D;REPETO 1710;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;29/05/2015;16:22;TAPIA CACTYT;GATICA;TRASLADO A HERRERA;;
189;22/04/2015;11:00;SI;S/PLACA;BMW;;VERDE;PARTICULAR;S/D;S/D;CUCHACUCHA 1700;AYES-APES-MORENO-PLATAS;MAIDANA;SI;;15/05/2015;10:30;ACOSTA CACTYT;AYESTARAN/PLATAS/MORENO;TRASLADO A HERRERA;;
190;22/04/2015;12:00;SI;CNS422;FIAT;PALIO;BORDO;PARTICULAR;S/D;S/D;SUAREZ 1774;AYES-APES-MORENO-PLATAS;VANESKEHEIAN;SI;;24/07/2015;11:50;MAIDANA;CARRILLO/PLATAS;TRASLADO A HERRERA;;
191;22/04/2015;12:35;SI;WNN951;FORD;FALCON;BORDO;PARTICULAR;S/D;S/D;R.ESCALADA Y REPETTO;AYES-APES-MORENO-PLATAS;ACOSTA;SI;;15/05/2015;18:30;;GATICA;AUTORIZADO POR GRECCO FERNANDO;;*******
192;22/04/2015;14:02;SI;S/PLACA;ROVER;;NEGRO;PARTICULAR;S/D;S/D;HERGUERA 1861;HURTADO-PIZARRO-AYES;S.O.S CETTOUR;SI;;20/05/2015;15:30;TAPIA CACTYT;PIZARRO;TRASLADO A HERRERA;;
193;22/04/2015;15:22;SI;BTJ587;CHEVROLET;20EFI;NEGRO;PARTICULAR;S/D;S/D;MARCOS SASTRE 3080;HURTADO-PIZARRO-GATICA;S.O.S GABRIELLI;SI;;24/06/2015;11:30;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
194;22/04/2015;15:29;SI;WWA787;VW;;ROJO;PARTICULAR;S/D;S/D;TONADOR 2071;HURTADO;S.O.S VAZQUEZ;SI;;22/07/2015;11:26;CORNAGO (CACTYT);APES/PLATAS;TRASLADO A HERRERA;;
195;22/04/2015;15:46;SI;S/PLACA;FORD;ESCORT;ROJO;PARTICULAR;S/D;S/D;LA VALLEJA 1400;GATICA ;TAPIA;SI;;12/05/2015;13:00;ACOSTA CACTYT;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
196;22/04/2015;16:02;SI;SKT371;FORD;ORION;ROJO;PARTICULAR;S/D;S/D;REMEDIOS DE ESCALADA DE SAN MARTIN 983;HURTADO;MANGO;SI;;02/07/2015;18:00;CABRERIZO (CACTYT);PIZARRO;TRASLADO A HERRERA;;
197;22/04/2015;16:00;SI;AQO384;VW;POINTER;VERDE;PARTICULAR;S/D;S/D;MELINCUE 4489;PIZARRO;S.O.S CETTOUR;SI;;10/10/2015;15:10;LEIVA (CACTYT);PIZZARO/HURTADO/AYESTARAN;TRASLADADO A HERRERA;;
198;22/04/2015;16:14;SI;SYS970;FIAT;REGATTA;ROJO;PARTICULAR;S/D;S/D;REMEDIOS 3600;GATICA;LENTINO;SI;;21/07/2015;15:58;FUENTES CACTYT;PIZARRO/BERARDI;TRASLADO A HERRERA;;
199;22/04/2015;16:43;SI;S/PLACA;FIAT;125;BLANCO;PARTICULAR;S/D;S/D;B.JUAREZ 2751;GATICA;S.O.S GABRIELLI;SI;;20/05/2015;16:00;VANESKHEIAN CACTYT;PIZARRO;TRASLADO A HERRERA;;
200;22/04/2015;17:15;SI;VQX335;MITSUBISHI;;AZUL;PARTICULAR;S/D;S/D;BALDOMINO 1482;GATICA;LEIVA;SI;;17/06/2015;11:50;DOMINGUEZ (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
201;22/04/2015;17:40;SI;S/PLACA;PEUGEOT;206;OXIDADO;PARTICULAR;S/D;S/D;AVELINO DIAZ 1400;PIZARRO;TAPIA;SI;;20/05/2015;15:45;TAPIA CACTYT;PIZARRO;TRASLADO A HERRERA;;
202;22/04/2015;18:00;SI;TIW344;ALFA ROMEO;164;GRIS;PARTICULAR;S/D;S/D;DIAZ 1126;GATICA;MANGO;SI;;06/07/2015;10:40;BINETTI CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
203;22/04/2015;18:40;SI;EDS110;CHEVROLET;CORSA;TAXI;PARTICULAR;S/D;S/D;BALDOMINO 1487;PIZARRO;LEIVA;SI;;25/06/2015;17:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
204;22/04/2015;19:00;SI;UJZ425;RENAULT;6;BLANCO;PARTICULAR;S/D;S/D;VIRREY LORETO 3530;GATICA;S.O.S CETTOUR;SI;;06/07/2015;11:10;BINETTI CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
205;23/04/2015;08:54;SI;UHJ028;PHASELL;SG;GRIS;PARTICULAR;S/D;S/D;CACHIMAYO 997;MORENO-APES-PLATAS;MAIDANA;SI;;25/06/2015;16:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
206;23/04/2015;09:45;SI;USI358;RENAULT;18;BORDO;PARTICULAR;S/D;S/D;FRIAS 41;MORENO-APES-PLATAS;ACOSTA;SI;;05/08/2015;10:45;DOMINGUEZ (CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
207;23/04/2015;10:20;SI;S/PLACA;PEUGEOT;405;ROJO;PARTICULAR;S/D;S/D;MIRAFLORES 2146;MORENO-APES-PLATAS;MAIDANA;SI;;20/05/2015;14:30;TAPIA CACTYT;PIZARRO;TRASLADO A HERRERA;;
